label,message
ham,Hey there! Are we still meeting today?
spam,Congratulations! You have won $1000 cash. Click here to claim.
ham,Don't forget to bring the book tomorrow.
ham,Are you free for lunch this weekend?
spam,You have been selected for a free vacation trip. Call now!
ham,"I'll be late to the party, stuck in traffic."
spam,Win a brand new car! Reply YES to enter the contest.
ham,Happy birthday! Wish you all the best.
spam,URGENT! Your account has been compromised. Verify immediately.
ham,Let's catch up over coffee sometime soon.
ham,Hey there! Are we still meeting today?
spam,Congratulations! You have won $1000 cash. Click here to claim.
ham,Don't forget to bring the book tomorrow.
ham,Are you free for lunch this weekend?
spam,You have been selected for a free vacation trip. Call now!
ham,"I'll be late to the party, stuck in traffic."
spam,Win a brand new car! Reply YES to enter the contest.
ham,Happy birthday! Wish you all the best.
spam,URGENT! Your account has been compromised. Verify immediately.
ham,Let's catch up over coffee sometime soon.
ham,Hey there! Are we still meeting today?
spam,Congratulations! You have won $1000 cash. Click here to claim.
ham,Don't forget to bring the book tomorrow.
ham,Are you free for lunch this weekend?
spam,You have been selected for a free vacation trip. Call now!
ham,"I'll be late to the party, stuck in traffic."
spam,Win a brand new car! Reply YES to enter the contest.
ham,Happy birthday! Wish you all the best.
spam,URGENT! Your account has been compromised. Verify immediately.
ham,Let's catch up over coffee sometime soon.
ham,Hey there! Are we still meeting today?
spam,Congratulations! You have won $1000 cash. Click here to claim.
ham,Don't forget to bring the book tomorrow.
ham,Are you free for lunch this weekend?
spam,You have been selected for a free vacation trip. Call now!
ham,"I'll be late to the party, stuck in traffic."
spam,Win a brand new car! Reply YES to enter the contest.
ham,Happy birthday! Wish you all the best.
spam,URGENT! Your account has been compromised. Verify immediately.
ham,Let's catch up over coffee sometime soon.
ham,Hey there! Are we still meeting today?
spam,Congratulations! You have won $1000 cash. Click here to claim.
ham,Don't forget to bring the book tomorrow.
ham,Are you free for lunch this weekend?
spam,You have been selected for a free vacation trip. Call now!
ham,"I'll be late to the party, stuck in traffic."
spam,Win a brand new car! Reply YES to enter the contest.
ham,Happy birthday! Wish you all the best.
spam,URGENT! Your account has been compromised. Verify immediately.
ham,Let's catch up over coffee sometime soon.
ham,Hey there! Are we still meeting today?
spam,Congratulations! You have won $1000 cash. Click here to claim.
ham,Don't forget to bring the book tomorrow.
ham,Are you free for lunch this weekend?
spam,You have been selected for a free vacation trip. Call now!
ham,"I'll be late to the party, stuck in traffic."
spam,Win a brand new car! Reply YES to enter the contest.
ham,Happy birthday! Wish you all the best.
spam,URGENT! Your account has been compromised. Verify immediately.
ham,Let's catch up over coffee sometime soon.
ham,Hey there! Are we still meeting today?
spam,Congratulations! You have won $1000 cash. Click here to claim.
ham,Don't forget to bring the book tomorrow.
ham,Are you free for lunch this weekend?
spam,You have been selected for a free vacation trip. Call now!
ham,"I'll be late to the party, stuck in traffic."
spam,Win a brand new car! Reply YES to enter the contest.
ham,Happy birthday! Wish you all the best.
spam,URGENT! Your account has been compromised. Verify immediately.
ham,Let's catch up over coffee sometime soon.
ham,Hey there! Are we still meeting today?
spam,Congratulations! You have won $1000 cash. Click here to claim.
ham,Don't forget to bring the book tomorrow.
ham,Are you free for lunch this weekend?
spam,You have been selected for a free vacation trip. Call now!
ham,"I'll be late to the party, stuck in traffic."
spam,Win a brand new car! Reply YES to enter the contest.
ham,Happy birthday! Wish you all the best.
spam,URGENT! Your account has been compromised. Verify immediately.
ham,Let's catch up over coffee sometime soon.
ham,Hey there! Are we still meeting today?
spam,Congratulations! You have won $1000 cash. Click here to claim.
ham,Don't forget to bring the book tomorrow.
ham,Are you free for lunch this weekend?
spam,You have been selected for a free vacation trip. Call now!
ham,"I'll be late to the party, stuck in traffic."
spam,Win a brand new car! Reply YES to enter the contest.
ham,Happy birthday! Wish you all the best.
spam,URGENT! Your account has been compromised. Verify immediately.
ham,Let's catch up over coffee sometime soon.
ham,Hey there! Are we still meeting today?
spam,Congratulations! You have won $1000 cash. Click here to claim.
ham,Don't forget to bring the book tomorrow.
ham,Are you free for lunch this weekend?
spam,You have been selected for a free vacation trip. Call now!
ham,"I'll be late to the party, stuck in traffic."
spam,Win a brand new car! Reply YES to enter the contest.
ham,Happy birthday! Wish you all the best.
spam,URGENT! Your account has been compromised. Verify immediately.
ham,Let's catch up over coffee sometime soon.
ham,Hey there! Are we still meeting today?
spam,Congratulations! You have won $1000 cash. Click here to claim.
ham,Don't forget to bring the book tomorrow.
ham,Are you free for lunch this weekend?
spam,You have been selected for a free vacation trip. Call now!
ham,"I'll be late to the party, stuck in traffic."
spam,Win a brand new car! Reply YES to enter the contest.
ham,Happy birthday! Wish you all the best.
spam,URGENT! Your account has been compromised. Verify immediately.
ham,Let's catch up over coffee sometime soon.
ham,Hey there! Are we still meeting today?
spam,Congratulations! You have won $1000 cash. Click here to claim.
ham,Don't forget to bring the book tomorrow.
ham,Are you free for lunch this weekend?
